age,sex,bmi,weight
18,1,53.13,4
22,1,52.58,4
23,1,50.38,4
58,1,49.06,4
46,0,48.07,4
52,1,47.74,4
37,0,47.6,4
47,1,47.52,4
54,0,47.41,4
52,0,46.75,4
54,0,46.7,4
32,1,46.53,4
37,1,46.53,4
26,1,46.53,4
43,0,46.2,4
50,0,46.09,4
27,1,45.9,4
25,1,45.54,4
39,1,45.43,4
47,0,45.32,4
19,1,44.88,4
50,1,44.77,4
50,0,44.745,4
52,0,44.7,4
32,0,44.22,4
30,1,44.22,4
61,0,44,4
46,1,43.89,4
44,0,43.89,4
57,1,43.7,4
61,1,43.4,4
35,0,43.34,4
30,0,43.12,4
18,1,43.01,4
33,0,42.94,4
51,1,42.9,4
34,1,42.9,4
23,0,42.75,4
49,0,42.68,4
39,1,42.655,4
33,1,42.46,4
33,1,42.4,4
26,0,42.4,4
46,1,42.35,4
18,0,42.24,4
27,1,42.13,4
57,1,42.13,4
34,1,42.13,4
25,0,42.13,4
58,0,41.91,4
23,1,41.91,4
56,0,41.91,4
36,1,41.895,4
39,0,41.8,4
52,1,41.8,4
40,1,41.69,4
63,1,41.47,4
49,0,41.47,4
53,1,41.47,4
40,0,41.42,4
63,1,41.325,4
25,0,41.325,4
42,0,41.325,4
48,0,41.23,4
40,1,41.23,4
18,1,41.14,4
59,1,41.14,4
32,0,41.1,4
57,1,40.945,4
60,1,40.92,4
55,0,40.81,4
51,0,40.66,4
54,1,40.565,4
38,0,40.565,4
48,1,40.565,4
19,0,40.5,4
64,1,40.48,4
20,1,40.47,4
46,1,40.375,4
57,1,40.37,4
42,0,40.37,4
56,1,40.3,4
18,0,40.28,4
57,1,40.28,4
41,1,40.26,4
18,0,40.26,4
26,0,40.185,4
18,0,40.185,4
38,0,40.15,4
24,1,40.15,4
48,1,40.15,4
45,0,39.995,4
62,1,39.93,4
60,1,39.9,4
56,0,39.82,4
33,0,39.82,4
18,0,39.82,4
22,0,39.805,4
45,1,39.805,4
63,1,39.8,4
